,School,Date,Item,Remarks,
,Tarrawanna,Pre 1939,[5/17791.2],Administrative file,
,Tarrawingie,Pre 1939,[5/17791.3],Administrative file,
,Tarriaro,08.02.1960-27.09.1966,[1/9305],Visitors' Book,
,Tarriaro,24.02.1958-27.09.1966,[1/9306],Punishment Book,
,Tarriaro,05.02.1958-11.04.1966,[1/9307],Admission Register,
,Tarriaro,Post 1939,[14/7868],Administrative file,
,Tarriaro,Pre 1939,[5/17791.4],Administrative file,
,Tarrilla,Pre 1939,[5/17791.5],Administrative file,
,Tarro (1),Pre 1939,[5/17791.6],Administrative file,
,Tarro (2),Post 1939,[14/7868],Administrative file,
,Tartna Point,-,[5/18301E],Proposed school,
,Tataila,Post 1939,[14/7868],Administrative file,
,Tataila,Pre 1939,[5/17792.1],Administrative file,
,Tatham (1) - (2),Pre 1939,[5/17792.2],Administrative file,
,Tathra,Post 1939,[14/7868],Administrative file,
,Tathra,Pre 1939,[5/17792.3],Administrative file,
,Tattaila,Pre 1939,[5/17793.1],Administrative file,
,Tatton,Post 1939,[14/7868],Administrative file,
,Tavistock,-,[5/18301E],Proposed school,
,Taylors Arm,03.02.1971-04.08.1975,[1/3981],Admission Register,
,Taylors Arm,25.11.1970-12.03.1975,[1/3988],Visitors' Book,
,Taylors Arm,15.11.1921-29.04.1938,[1/3989],Observation Book,
,Taylors Arm,27.07.1939-13.08.1974,[1/3996],Observation Book,
,Taylors Arm,1943-1948,[14/7868],Administrative file,
,Taylors Arm,Pre 1939,[5/17793.2],Administrative file,
,Taylors Arm,-,[5/18301E],Proposed School (see Bowra Creek),
,Taylors Arm,28.03.1905-14.10.1971,[1/3966],Punishment Book,
,Taylors Arm,24.02.1971-13.08.1974,[1/3967],Punishment Book,
,Taylors Arm,27.02.1961-02.10.1975,[1/3971],Visitors' Book (Clergy),
,Taylors Arm,1973-1975,[1/3972],Examination Book,
,Taylors Arm,01.02.1921-19.05.1970,[1/3980],Admission Register,
,Taylors Arm Central,-,[5/18301E],Proposed school,
,Taylors Arm Lower,-,[5/18301E],Proposed school,
,Taylors Flat,Pre 1939,[5/17793.3],Administrative file,
,Taylors Hill,-,[5/18301E],Proposed school,
,Tea Garden Creek,-,[5/18301E],Proposed school,
,Tea Gardens (1)-(2),1887-1935,[5/17794],Administrative file,
,Tea Gardens (1)-(2),1935-1939,[5/17795.1],Administrative file,
,Tea Gardens (2),Post 1939,[14/7869],Administrative file,
,Tea Tree,Pre 1939,[5/17795.2],Administrative file,
,Tealby,-,[5/18301E],Proposed school,
,"Technical College, Ultimo",24.01.1921-14.04.1930,[1/9734],Admission Register,
,"Technical College, Ultimo",03.02.1931-28.01.1936,[1/9735],Admission Register,
,"Technical College, Ultimo",28.01.1936-28.01.1941,[1/9736],Admission Register,
,"Technical College, Ultimo",28.01.1941-29.01.1946,[1/9737],Admission Register,
,"Technical College, Ultimo",28.01.1947-03.04.1949,[1/9738],Admission Register,
,"Technical College, Ultimo",31.01.1950-16.03.1954,[1/9739],Admission Register,
,"Technical College, Ultimo",01.02.1955-28.01.1958,[1/9740],Admission Register,
,"Technical College, Ultimo",28.01.1958-29.04.1960,[1/9741],Admission Register,
,"Technical College, Ultimo",02.02.1961-10.02.1964,[1/9742],Admission Register,
,"Technical College, Ultimo",1959-1961,[1/9743],Correspondence re pre-apprenticeship classes,
,"Technical College, Ultimo",29.10.1941-20.10.1961,[1/9744],Observation Book,
,"Technical College, Ultimo",31.10.1924-1941,[1/9745],Observation Book,
,Telalba (2),Post 1939,[14/7872],Administrative file,
,Telarah,24.07.1946-29.04.1964,[1/6803],Observation Book. Record at University of Newcastle,
,Telarah,13.09.1957-08.12.1959,[1/6804],Visitors' Book. Record at University of Newcastle,
,Telarah,05.06.1940-06.12.1950,[1/6805],Visitors' Book (Clergy). Record at University of Newcastle,
,Telarah,19.10.1955-27.11.1956,[1/6806],Visitors' Book (Clergy). Record at University of Newcastle,
,Telarah,31.01.1951-12.10.1955,[1/6807],Visitors' Book. Record at University of Newcastle,
,Telarah,16.02.1960-30.09.1970,[1/6808],Visitors' Book. Record at University of Newcastle,
,Telarah,11.03.1953-04.05.1970,[1/6809],Punishment Book Record at University of Newcastle,
,Telarah,27.07.1918-23.07.1945,[1/6810],Admission Register. Record at University of Newcastle,
,Telarah,03.02.1943-31.01.1962,[1/6811],Admission Register. Record at University of Newcastle,
,Telarah,Post 1939,[14/7869],Administrative file,
,Telegherry,Pre 1939,[5/17795.3],Administrative file,
,Telegraph Point,17.09.1926-10.12.1957,[1/5074],Visitors' Book,
,Telegraph Point,1931-30.10.1961,[1/5075],Admission Register,
,Telegraph Point,1960,[1/5076],Programme and Lesson Register,
,Telegraph Point,1961,[1/5077],Programme and Lesson Register,
,Telegraph Point,1962,[1/5078],Programme and Lesson Register,
,Telegraph Point,Post 1939,[14/7869],Administrative file,
,Telegraph Point,Pre 1939,[5/17796],Administrative file,
,Telopea,Post 1939,[14/7869],Administrative file,
,Telopea Park,Post 1939,[14/7870],Administrative file,
,Telopea Park,Pre 1939,[5/17797],"Administrative file (2 bundles, A and B)",
,Temagog,Post 1939,[14/7870],Administrative file,
,Temagogue,Pre 1939,[5/17798.1],Administrative file,
,Temi,Pre 1939,[5/17798.2],Administrative file,
,Temi Shale Mine,Pre 1939,[5/17798.3],Administrative file,
,Temora,Post 1939,[14/7870],Administrative file,
,Temora,1880-1892,[5/17798.4],Administrative file,
,Temora,1893-1915,[5/17799],"Administrative file (3 bundles, A-C)",
,Temora,1915-1930,[5/17800],"Administrative file (2 bundles, A and B)",
,Temora,1930-1933,[5/17801],Administrative file,
,Temora,1933-1939,[5/17802],"Administrative file (2 bundles, A and B)",
,Temora High,Post 1939,[14/7871],Administrative file,
,Temora West,Post 1939,[14/7871],Administrative file,
,Tempe,Post 1939,[14/7871],Administrative file,
,Tempe,1870-1907,[5/17803],"Administrative file (2 bundles, A and B)",
,Tempe,1908-1914,[5/17804],"Administrative file (2 bundles, A and B)",
,Tempe,1914-1922,[5/17805],"Administrative file (2 bundles, A and B)",
,Tempe,1922-1926,[5/17806],"Administrative file (2 bundles, A and B)",
,Tempe,1926-1931,[5/17807],"Administrative file (2 bundles, A and B)",
,Tempe,1931-1937,[5/17808],"Administrative file (2 bundles, A and B)",
,Tempe,1937-1939,[5/17809.1],Administrative file,
,Tempe High,Post 1939,[14/7871],Administrative file,
,Tempe High School,1977-2002,[NRS 19694],Register of Admission,
,Ten Mile (1)-(2),Pre 1939,[5/17810.3],Administrative file,
,Ten Mile Waterhole,Pre 1939,[5/17810.4],Administrative file,
,Tenambit,Post 1939,[14/7871],Administrative file,
,Tenambit,1895-1919,[5/17809.2],Administrative file,
,Tenambit,1920-1939,[5/17810.1],Administrative file,
,Tenandra (1) - (3),Pre 1939,[5/17810.2],Administrative file,
,Tennyson,Post 1939,[14/7871],Administrative file,
,Tennyson,Pre 1939,[5/17811.1],Administrative file,
,Tent Hill,Post 1939,[14/7871],Administrative file,
,Tenterden,Post 1939,[14/7871],Administrative file,
,Tenterden,Pre 1939,[5/17811.2],Administrative file,
,Tenterfield,Post 1939,[14/7872],Administrative file,
,Tenterfield,1876-1886,[5/17811.3],Administrative file,
,Tenterfield,1886-1913,[5/17812],"Administrative file (2 bundles, A and B)",
,Tenterfield,1913-1929,[5/17813],"Administrative file (3 bundles, A-C)",
,Tenterfield,1929-1939,[5/17814],"Administrative file (3 bundles, A-C)",
,Tenterfield High,19.10.1960-30.09.1960,[1/4598],Observation Book,
,Tenterfield High,02.05.1962-21.08.1963,[1/4599],Observation Book,
,Tenterfield High,14.07.1924-06.12.1943,[1/4600],Admission Register,
,Tenterfield High,01.03.1937-23.03.1970,[1/4601],Punishment Book,
,Tenterfield High,1968,[1/4621],Commerce Programme Book,
,Tenterfield High,1963,[1/4622],History Programme Book,
,Tenterfield High,1962,[1/4623],History Programme Book,
,Tenterfield High,02.05.1933-20.11.1947,[1/4728],Observation Book,
,Tenterfield High,19.08.1947-01.05.1953,[1/4729],Observation Book,
,Tenterfield High,22.07.1953-22.10.1960,[1/4730],Observation Book,
,Tenterfield High,1962,[1/4731],Programme and Lesson Register,
,Tenterfield High,1963,[1/4732],Programme and Lesson Register,
,Tenterfield High,Post 1939,[14/7872],Administrative file,
,Teralba,Pre 1939,[5/17815.2],Administrative file (see Govt. Schools NSW includes Hillsborough gravel pits),
,Teralba,1928-1939,[5/17816.1],Administrative file,
,Teralba (1) - (2),1883-1928,[5/17815.1],"Administrative file (3 bundles, A-C)",
,Terania,Pre 1939,[5/17816.2],Administrative file,
,Terania Creek,22.05.1964-25.10.1965,[1/3944],Visitors' Book,
,Terania Creek,26.08.1929-15.06.1961,[1/3945],Observation Book,
,Terania Creek,10.08.1915-20.11.1963,[1/3946],Visitors' Book,
,Terania Creek,21.11.1951-02.07.1965,[1/3947],Observation Book,
,Terania Creek,25.07.1916-24.06.1965,[1/3948],Punishment Book,
,Terania Creek,07.06.1921-14.12.1965,[1/3949],Admission Register,
,Terara,Post 1939,[14/7873],Administrative file,
,Terara,1935-1939,[5/17816.3],Administrative file,
,Terembone Creek,Pre 1939,[5/17817.1],Administrative file,
,Termeil,Post 1939,[14/7873],Administrative file,
,Termeil,Pre 1939,[5/17817.2],Administrative file,
,Terowie,Pre 1939,[5/17817.3],Administrative file,
,Terra Bella,Post 1939,[14/7873],Administrative file,
,Terra Bella,Pre 1939,[5/17817.4],Administrative file,
,Terra Delbi,-,[5/18301E],Proposed school,
,Terrace Creek,Pre 1939,[5/17817.5],Administrative file,
,Terrace Creek (also includes Bundgeam),13.05.1912-12.04.1926,[35/2215],Admission Register (Terrace Creek),
,Terrace Creek (also includes Bundgeam),07.02.1927-02.03.1942,[35/2215],Admission Register (Bundgeam),
,Terrace Creek (also includes Bundgeam),29.07.1912-28.11.1923,[35/2220],Punishment Book (Terrace Creek),
,Terrace Creek (also includes Bundgeam),01.02.1924-1978,[35/2220],Punishment Book,
,Terragon,Post 1939,[14/7873],Administrative file,
,Terragon,Pre 1939,[5/17818.1],Administrative file,
,Terramungamine,Pre 1939,[5/17818.2],Administrative file,
,Terranora,Pre 1939,[5/17818.3],Administrative file,
,Terranora,-,[5/18301E],Proposed School,
,Terrara,1876-1935,[5/17819.1],"Administrative file (2 bundles, A and B)",
,Terrawinda,-,[5/18301E],Proposed school,
,Terrey Hills,Post 1939,[14/7873],Administrative file,
,Terrey Hills,1938,[5/17819.2],Administrative file,
,Terrible Billy,-,[5/18301E],Proposed school,
,Terrible Vale,Post 1939,[14/7873],Administrative file,
,Terrible Vale,Pre 1939,[5/17819.3],Administrative file,
,Terrigal,Post 1939,[14/7873],Administrative file,
,Terrigal (1)-(2),1918-1934,[5/17820A],Administrative file,
,Terrigal (1)-(2),1935-1939,[5/17820B],Administrative file,
,Terrigal High,Post 1939,[14/7873],Administrative file,
,Terry Hie Hie,Post 1939,[14/7873],Administrative file,
,Terry Hie Hie,Pre 1939,[5/17821.1],Administrative file,
,Terry Hie Hie Aboriginal,Pre 1939,[5/17821.2],"Administrative file (2 bundles, A and B)",
,Teven (Creek),1885-1909,[5/17821.3],Administrative file,
,Teven (Creek),1909-1939,[5/17822.1],Administrative file,
,Tewinga,25.05.1943-01.12.1953,[1/9107],Material relating to Golden Anniversary Celebrations,
,Tewinga,Post 1939,[14/7873],Administrative file,
,Tewinga,Pre 1939,[5/17822.2],Administrative file,
,Tewinga,1959-1975,[1/9099],Equipment Register,
,Tewinga,1973,[1/9100],Record of condemnings,
,Tewinga,19.04.1915-22.03.1961,[1/9101],Punishment Book,
,Tewinga,17.03.1930-04.11.1948,[1/9102],Observation Book,
,Tewinga,18.05.1950-26.06.1970,[1/9103],Observation Book,
,Tewinga,18.02.1919-06.06.1974,[1/9104],Visitors' Book,
,Tewinga,02.02.1960-15.09.1975,[1/9105],Admission Register,
,Tewinga,02.02.1915-05.12.1960,[1/9106],Admission Register,
,Thackaringa,Pre 1939,[5/17822.3],Administrative file,
,Thalaba,Pre 1939,[5/17823.1],Administrative file,
,Thalgarrah,Post 1939,[14/7873],Administrative file,
,Thalgarrah,Pre 1939,[5/17823.2],Administrative file,
,Thalgarrah Field Studies Centre,Post 1939,[14/7873],Administrative file,
,Thanowring,Pre 1939,[5/17823.3],Administrative file,
,Tharbogang,Post 1939,[14/7873],Administrative file,
,Tharbogang,1930-1934,[5/17823.4],Administrative file,
,Tharbogang,1934-1939,[5/17824.1],Administrative file,
,Tharwa,Pre 1939,[5/17824.2],Administrative file,
,The Entrance,25.05.1943-01.12.1953,[1/5014],Admission Register,
,The Entrance,11.08.1920-19.05.1943,[1/5015],Admission Register,
,The Entrance,02.02.1954-12.11.1964,[1/5016],Admission Register,
,The Entrance,08.03.1882-12.06.1959,[1/5017],Observation Book,
,The Entrance,1917-1918,[1/5018],Programme and Lesson Register,
,The Entrance,1962,[1/5019],Programme and Lesson Register,
,The Entrance,1963,[1/5020],Programme and Lesson Register,
,The Entrance,1963,[1/5021],Programme and Lesson Register,
,The Entrance,1963,[1/5022],Programme and Lesson Register,
,The Entrance,1963,[1/5023],Programme and Lesson Register,
,The Entrance,1963,[1/5024],Programme and Lesson Register,
,The Entrance,1963,[1/5025],Programme and Lesson Register,
,The Entrance,1964,[1/5026],Programme and Lesson Register,
,The Entrance,1964,[1/5027],Programme and Lesson Register,
,The Entrance,1964,[1/5028],Programme and Lesson Register,
,The Entrance,1964,[1/5029],Programme and Lesson Register,
,The Entrance,1965,[1/5030],Programme and Lesson Register,
,The Entrance,1965,[1/5031],Programme and Lesson Register,
,The Entrance,1966,[1/5032],Programme and Lesson Register,
,The Entrance,1966,[1/5033],Programme and Lesson Register,
,The Entrance,1966,[1/5034],Programme and Lesson Register,
,The Entrance,1966,[1/5035],Programme and Lesson Register,
,The Entrance,1967,[1/5036],Programme and Lesson Register,
,The Entrance,1967,[1/5037],Programme and Lesson Register,
,The Entrance,1967,[1/5038],Programme and Lesson Register,
,The Entrance,15.02.1917-06.05.1970,[1/5039],Punishment Book,
,The Entrance,1962-1963,[1/5040],Visitors' Book,
,The Entrance,16.11.1915-09.09.1953,[1/5041],Visitors' Book,
,The Entrance,08.10.1953-04.12.1961,[1/5042],Visitors' Book,
,The Entrance,04.02.1944-01.10.1953,[1/5043],Visitors' Book,
,The Entrance,20.09.1916-22.04.1931,[1/5044],Observation Book,
,The Entrance,1915-1918,[1/5061],School Returns,
,The Entrance North Public School,1926-1974,[NRS 20384],Admission register,
,The Entrance North Public School,1945-1965,[NRS 20385],Visitors Book,
,The Gap (2) (railway camp),1923-1924,[1/8573 part],Admission Register,
,The Hatch,15.07.1963-01.11.1966,[1/9729],Visitors' Book,
,The Hatch,07.05.1965-04.11.1966,[1/9730],Observation Book,
,The Hatch,02.02.1960-31.01.1967,[1/9731],Admission Register,
,The Junction (Demonstration),1961-1962,[1/3857],Stock Book. Record at University of Newcastle,
,The Junction (Demonstration),27.01.1914-23.01.1924,[1/3858],Admission Register (Girls). Record at University of Newcastle,
,The Junction (Demonstration),24.01.1924-17.12.1944,[1/3860],Admission Register (Girls). Record at University of Newcastle,
,The Junction (Demonstration),30.01.1945-19.11.1962,[1/3861],Admission Register (Girls). Record at University of Newcastle,
,The Junction (Demonstration),1921-13.12.1948,[1/3866],Admission Register (Boys). Record at University of Newcastle,
,The Junction (Demonstration),02.02.1949-15.09.1958,[1/3872],Admission Register (Boys). Record at University of Newcastle,
,The Junction (Demonstration),27.01.1959-01.10.1962,[1/3873],Admission Register (Boys). Record at University of Newcastle,
,The Junction (Demonstration),30.06.1936-1956,[1/3874],Observation Book. Record at University of Newcastle,
,The Junction (Demonstration),25.05.1956-01.10.1956,[1/3875],Observation Book. Record at University of Newcastle,
,The Junction (Demonstration),1958,[1/3876],Observation Book. Record at University of Newcastle,
,The Junction (Demonstration),26.05.1939-29.11.1945,[1/3879],Visitors' Book. Record at University of Newcastle,
,The Junction (Demonstration),09.02.1945-16.11.1951,[1/3891],Visitors' Book. Record at University of Newcastle,
,The Junction (Demonstration),01.02.1957-17.08.1961,[1/3893],Visitors' Book. Record at University of Newcastle,
,The Junction (Demonstration),05.07.1957-08.12.1961,[1/3894],Visitors' Book (Clergy). Record at University of Newcastle,
,The Junction (Demonstration),14.02.1930-02.05.1961,[1/3895],Punishment Book Record at University of Newcastle,
,The Junction (Demonstration),12.04.1961-03.11.1961,[1/3904],Punishment Book Record at University of Newcastle,
,The Junction (Demonstration),1925,[1/3906],Examination Book. Record at University of Newcastle,
,The Junction (Demonstration),1948-1949,[1/3908],Half-yearly Exam reports. Record at University of Newcastle,
,The Junction (Demonstration),1929-1934,[1/3914],Comments and Suggestions Book. Record at University of Newcastle,
,The Junction (Demonstration),1938-1940,[1/3917],Comments and Suggestions Book. Record at University of Newcastle,
,The Junction (Demonstration),1941-1945,[1/3918],Comments and Suggestions Book. Record at University of Newcastle,
,The Junction (Demonstration),1943-1946,[1/3919],Comments and Suggestions Book. Record at University of Newcastle,
,The Junction (Demonstration),1945-1950,[1/3924],Comments and Suggestions Book. Record at University of Newcastle,
,The Junction (Demonstration),-,[1/3835],Photographs and Centenary Booklet. Record at University of Newcastle,
,The Junction (Demonstration),1951-1956,[1/3846],Stock Book. Record at University of Newcastle,
,The Tower,16.03.1914-31.03.1943,[1/9330],Punishment Book Record at University of Newcastle,
,Thee Peaks,1954-1967,[1/7520],Observation Book,
,Theresa Creek,May 1936-01.12.1969,[1/4034],Visitors' Book,
,Theresa Creek,19.08.1958-11.12.1967,[1/4035],Observation Book,
,Theresa Creek,15.09.1936-26.11.1956,[1/4036],Observation Book,
,Theresa Creek,25.05.1936-30.06.1969,[1/4037],Admission Register,
,Theresa Creek,26.10.1936-17.09.1969,[1/4038],Punishment Book,
,Theresa Creek,Post 1939,[14/7874],Administrative file,
,Theresa Creek,Pre 1939,[5/17824.3],Administrative file,
,Theresa Park,Post 1939,[14/7874],Administrative file,
,Theresa Park,Pre 1939,[5/17825.1],"Administrative file (2 bundles, A and B)",
,Third Creek,Post 1939,[14/7874],Administrative file,
,Third Creek,Pre 1939,[5/17825.2],"Administrative file (2 bundles, A and B)",
,Thirlmere,Post 1939,[14/7874],Administrative file,
,Thirlmere,1888-1932,[5/17826],"Administrative file (3 bundles, A-C)",
,Thirlmere,1932-1939,[5/17827.1],Administrative file,
,Thirroul,Post 1939,[14/7874],Administrative file,
,Thirroul,1889-1915,[5/17827.2],Administrative file,
,Thirroul,1915-1928,[5/17828],Administrative file,
,Thirroul,1928-1938,[5/17829],Administrative file,
,Thirroul,1938-1939,[5/17830.1],Administrative file,
,Thirroul,1975,[1/10693.4],Record of evaluations,
,Thirroul,1961-1975,[1/10693.5],Observation Book,
,Thirroul,1969-1979,[1/10693.6],"Minute  book, P & C Association",
,Thirroul,1953-1958,[1/10693.7],Photographs/news clippings,
,Thirroul,1947-1974,[1/10694.1],Admission Register,
,Thirroul,1970-1972,[1/10694.2],Programme and Lesson registers,
,Thirroul,1984-1989,[1/10694.3],Reminiscences - M.W. Claridge,
,Thirroul,1971,[1/10694.4],Survey of School building needs,
,Thirroul,"1925, 1960",[1/10694.5],Miscellaneous plans,
,Thirroul,1935-1970,[1/7435],Punishment Book,
,Thirroul,1937-1959,[1/7436],Observation Book,
,Thirroul,1945-1964,[1/7437],Admission Register,
,Thoko,Pre 1939,[5/17830.2],Administrative file,
,Thommond (1) - (2),Pre 1939,[5/17830.3],Administrative file,
,Thompson Creek,Pre 1939,[5/17830.4],Administrative file,
,Thone Creek,Pre 1939,[5/17830.5],Administrative file,
,Thoomee,Pre 1939,[5/17830.6],Administrative file,
,Thora,Pre 1939,[5/17831.1],Administrative file,
,Thornford,Post 1939,[14/7874],Administrative file,
,Thornford,Pre 1939,[5/17831.3],Administrative file,
,Thorngrove,Pre 1939,[5/17831.2],Administrative file,
,Thornhill Park,Post 1939,[14/7874],Administrative file,
,Thornhill Park,Pre 1939,[5/17831.4],Administrative file,
,Thornhurst,Pre 1939,[5/17832.1],Administrative file,
,Thornleigh,Post 1939,[14/7874],Administrative file,
,Thornleigh,1890-1915,[5/17832.2],"Administrative file (3 bundles, A-C)",
,Thornleigh,1915-1939,[5/17833],Administrative file,
,Thornleigh West,Post 1939,[14/7875],Administrative file,
,Thornshope,-,[5/18301E],Proposed school,
,Thornton,22.09.1919-08.04.1935,[1/5534],Observation Book. Record at University of Newcastle,
,Thornton,26.02.1954-08.07.1970,[1/5535],Visitors' Book. Record at University of Newcastle,
,Thornton,15.07.1936-28.10.1966,[1/5536],Observation Book. Record at University of Newcastle,
,Thornton,1959,[1/5537],Programme and Lesson Register. Record at University of Newcastle,
,Thornton,1960,[1/5538],Programme and Lesson Register. Record at University of Newcastle,
,Thornton,1962,[1/5539],Programme and Lesson Register. Record at University of Newcastle,
,Thornton,1963,[1/5540],Programme and Lesson Register. Record at University of Newcastle,
,Thornton,1964,[1/5541],Programme and Lesson Register. Record at University of Newcastle,
,Thornton,05.05.1919-03.12.1959,[1/5542],Admission Register. Record at University of Newcastle,
,Thornton,02.06.1919-02.12.1966,[1/5543],Punishment Book Record at University of Newcastle,
,Thornton,Post 1939,[14/7875],Administrative file,
,Thornton,Pre 1939,[5/17834.1],Administrative file,
,Thornvale,Pre 1939,[5/17834.2],Administrative file,
,Thorps Pinch,Pre 1939,[5/17834.3],Administrative file,
,"Three Bridges, The",Post 1939,[14/7875],Administrative file,
,"Three Bridges, The",Pre 1939,[5/17834.4],Administrative file,
,Three Brothers,Pre 1939,[5/17834.5],Administrative file,
,Three Mile,Pre 1939,[5/17835.1],Administrative file,
,Three Mile,-,[5/18301E],Proposed school,
,Three Mile Rush,Pre 1939,[5/17835.2],Administrative file,
,Three Mile Waterhole,Pre 1939,[5/17835.3],Administrative file,
,Three Peaks,1953-1966,[1/7521],Admission Register,
,Three Peaks,1954-1967,[1/7522],Punishment Book,
,Three Peaks,Post 1939,[14/7875],Administrative file,
,Three Rivers,Post 1939,[14/7875],Administrative file,
,Three Rivers,Pre 1939,[5/17835.4],Administrative file,
,Thubergal Lake,Pre 1939,[5/17835.5],Administrative file,
,Thuddungra,1968-1971,[1/10282],Visitors' Book,
,Thuddungra,1905-1971,[1/10283],Punishment Book,
,Thuddungra,1966-1971,[1/10284],Observation Book,
,Thuddungra,1930-1955,[1/10285],Observation Book,
,Thuddungra,1968-1971,[1/10286],Visitors' Book,
,Thuddungra,1936-1971,[1/10287],Admission Register,
,Thuddungra,Pre 1939,[5/17835.6],Administrative file,
,Thuddungra,16.11.1956-27.10.1972,[1/10277 part],Closure of School,
,Thuddungra,06.11.1969-03.08.1971,[1/10277 part],School Reports,
,Thuddungra,1960-1967,[1/10281],Visitors' Book (Clergy),
,Thulabin,Pre 1939,[5/17836.1],Administrative file,
,Thule,Pre 1939,[5/17836.2],Administrative file,
,Thullo Siding,Pre 1939,[5/17836.3],Administrative file,
,Thumb Creek,26.02.1950-02.04.1957,[1/9312],Visitors' Book,
,Thumb Creek,22.10.1945-13.05.1960,[1/9313],Observation Book,
,Thumb Creek,12.06.1928-11.07.1960,[1/9314],Admission Register,
,Thumb Creek,Post 1939,[14/7875],Administrative file,
,Thumb Creek,Pre 1939,[5/17836.4],Administrative file,
,Thurgoona,1926-1942,[1/6273],Observation Book,
,Thurgoona,1882-1938,[1/6274],Visitors' Book,
,Thurgoona,1907-1938,[1/6275],Admission Register,
,Thurgoona,Post 1939,[14/7875],Administrative file,
,Thurgoona,Pre 1939,[5/17837.1],Administrative file,
,Thurloo,Pre 1939,[5/17837.2],Administrative file,
,Thyra,Pre 1939,[5/17838.1],Administrative file,
,Thyra (2),Post 1939,[14/7875],Administrative file,
,Thyra (formerly Bunaloo East),16.03.1959-06.02.1980,[32/2347],Admission Register (record held at Charles Sturt Regional Archives),
,Thyra (formerly Bunaloo East),1959-1970,[32/2348],Observation Book (record held at Charles Sturt Regional Archives),
,Thyra (formerly Bunaloo East),1959-1985,[32/2349],Visitors' Book (record held at Charles Sturt Regional Archives),
,Tia,20.09.1912-13.12.1966,[1/9907],Visitors' Book,
,Tia,28.02.1913-30.11.1965,[1/9908],Punishment Book,
,Tia,28.01.1919-01.02.1966,[1/9909],Admission Register,
,Tia (1),Pre 1939,[5/17838.2],Administrative file,
,Tia (Common) (2),Post 1939,[14/7875],Administrative file,
,Tia (Common) (2),Pre 1939,[5/17838.3],Administrative file,
,Tiara,Pre 1939,[5/17838.4],Administrative file,
,Tibbuc,-,[5/18301E],Proposed school,
,Tibeaudo,Post 1939,[14/7875],Administrative file,
,Tibeaudo,Pre 1939,[5/17839.1],Administrative file,
,Tibooburra,1949-1955,[14/7875],Administrative file,
,Tibooburra,1959-1966,[14/7876],Administrative file,
,Tibooburra,Pre 1939,[5/17839.2],"Administrative file (2 bundles, A and B)",
,Tichborne,1926-1963,[1/6909],Visitors' Book,
,Tichborne,1960-1966,[1/6910],Visitors' Book,
,Tichborne,1969,[1/6911],Programme and Lesson Register,
,Tichborne,1969,[1/6912],Programme and Lesson Register,
,Tichborne,1970,[1/6913],Programme and Lesson Register,
,Tichborne,1909-1968,[1/6914],Admission Register,
,Tichborne,1962-1970,[1/8172],Admission Register,
,Tichborne,1967-1970,[1/8173],Visitors' Book,
,Tichborne,1947-1970,[1/8174],Observation Book,
,Tichborne,1918-1970,[1/8175],Punishment Book,
,Tichborne,Pre 1939,[5/17840],Administrative file,
,Tighes Hill,1876-1909,[5/17841],"Administrative file (2 bundles, A and B)",
,Tighes Hill,1909-1921,[5/17842],"Administrative file (2 bundles, A and B)",
,Tighes Hill,1921-1931,[5/17843],"Administrative file (2 bundles, A and B)",
,Tighes Hill,1931-1939,[5/17844],Administrative file,
,Tighes Hill,Post 1939,[14/7876],Administrative file,
,Tigrah,Pre 1939,[5/17845.1],Administrative file,
,Tilba Central,Post 1939,[14/7876],Administrative file,
,Tilba Tilba,1911-1939,[5/17846.1],Administrative file,
,Tilba Tilba (1) - (2),1876-1911,[5/17845.3],Administrative file,
,"Tilba, Central",Pre 1939,[5/17845.2],Administrative file,
,Tilbelah,Pre 1939,[5/17846.2],Administrative file,
,Tilbuster,Post 1939,[14/7876],Administrative file,
,Tilbuster,1887-1911,[5/17846.3],Administrative file,
,Tilbuster,1911-1939,[5/17847.1],"Administrative file (2 bundles, A and B)",
,Tilpa,Post 1939,[14/7876],Administrative file,
,Tilpa,1896-1925,[5/17847.2],Administrative file,
,Tilpa,1925-1939,[5/17848.1],Administrative file,
,Timbery Range,Pre 1939,[5/17848.2],Administrative file,
,Timbrebongie,Post 1939,[14/7876],Administrative file,
,Timbrebungie,Pre 1939,[5/17848.3],Administrative file,
,Timbumburi,1911-1970,[1/6133],Punishment Book,
,Timbumburi,Post 1939,[14/7876],Administrative file,
,Timbumburi,1891-1924,[5/17848.4],Administrative file,
,Timbumburi,1924-1939,[5/17849.1],Administrative file,
,Timms Vale,Pre 1939,[5/17849.2],Administrative file,
,Timmsvale,05.03.1929-29.05.1970,[1/5177],Punishment Book,
,Timmsvale,29.01.1963-27.01.1970,[1/5178],Admission Register,
,Timmsvale,01.06.1928-13.12.1960,[1/5180],Visitors' Book,
,Timmsvale,28.09.1961-15.04.1970,[1/5181],Visitors' Book,
,Timmsvale,21.09.1951-18.04.1969,[1/5182],Observation Book,
,Timmsvale,1928-1962,[1/8406],Admission Register,
,Timmsvale,Post 1939,[14/7876],Administrative file,
,Timor,Post 1939,[14/7876],Administrative file,
,Timor,Pre 1939,[5/17849.3],Administrative file,
,Tinagroo,1897-1900,[5/17850.1],Administrative file,
,Tinda Tank,Pre 1939,[5/17850.2],Administrative file,
,Tindery Vale,1890-1900,[5/17850.3],Administrative file,
,Tingha,Post 1939,[14/7876],Administrative file,
,Tingha,1878-1908,[5/17850.4],"Administrative file (2 bundles, A and B)",
