,Place,Description,Date,Copy,Page,Citation,Remarks,RecordType,
,Sydney,Treasury Buildings. Stair to Mezzanine,1899,-,-,4335 [Plan 975],Colonial Architect Plan No. PB25/21. Signature of architect (G. McRae) appears on the plan,"Appendix B: Architectural Plans, 1848-1967",
,Sydney,Central Police Courts (Liverpool Street). First and second floor plans and sections,1890,-,-,4335 [Plan 715],Colonial Architect Plan No. PC125/25,"Appendix B: Architectural Plans, 1848-1967",
,Sydney,Treasury Building,-,-,162,4346 [9/5879],-,"Appendix E: Photographs of public buildings, c.1880-1940",
,Sydney,"University of Sydney, Fisher Library. Sulman Award, 1962 - E.H. Farmer and T.E. O’Mahony, architects. Presented by the Royal Australian Institute of Architects",1897,-,-,4335 [Plan ***],Mitchell Library No. XVI LIB FIS 1-13,Appendix G: Archival estrays in the Mitchell Library including those transferred to the Archives Office,
,Sydney,Registrar General. The Old Building remodelled.  Contract No.84.  Drawing No.1. Ground floor plan,1913,-,-,4335 [Plan 2217],Colonial Architect Plan No.,"Appendix B: Architectural Plans, 1848-1967",
,Sydney,Survey Department,"1857-66, 1877-78",-,-,4332 [2/625],-,"Appendix A: Correspondence, c.1837-96",
,Sydney,"Mitchell Library  see also  National Library. Section through Book Stack Reading Room No.2 and Picture Gallery, showing stair turrets and cornice",December 1905,-,-,4335 [Plan 1931],Colonial Architect Plan No. Signature of architect (W.L. Vernon) appears on the plan,"Appendix B: Architectural Plans, 1848-1967",
,Sydney,Lyceum Theatre,"1855, 1860",-,-,4332 [2/647],-,"Appendix A: Correspondence, c.1837-96",
,Sydney,Education Department. Copy of fifth floor plan. Same as plan 1831,n.d.,-,-,4335 [Plan 1832],Colonial Architect Plan No.,"Appendix B: Architectural Plans, 1848-1967",
,Sydney,Convict Office,"1848, 1852-55",-,-,4332 [2/640A],-,"Appendix A: Correspondence, c.1837-96",
,Sydney,Dockyard. Repairs to roadway and quarters of Superintendent of Boats,"1846, 1850-51, 1856",-,-,4332 [2/642A],-,"Appendix A: Correspondence, c.1837-96",
,Sydney,"Education Department. New offices for the Department of Public Instruction.  Copy of elevation to Bridge Street, No.9",4 September 1912,-,-,4335 [Plan 1781],Colonial Architect Plan No. PB18/A1960. Signature of architect (G. McRae)  appears on the plan,"Appendix B: Architectural Plans, 1848-1967",
,Sydney,"Treasury Buildings. Detail of lift enclosures.  Plan, elevation and section",1917,-,-,4335 [Plan 976],Colonial Architect Plan No. PB25/22. Signature of architect (G. McRae) appears on the plan,"Appendix B: Architectural Plans, 1848-1967",
,Sydney,Central Police Courts (Liverpool Street). Foundation plan,1889,-,-,4335 [Plan 716],Colonial Architect Plan No. PC125/26. Signature of architect (Barnet) appears on the plan,"Appendix B: Architectural Plans, 1848-1967",
,Sydney,"University of Sydney, Fisher Library. 15 black/white negatives of plans, elevations and sections (35mm) black/white photos of building are filed at SPF/Sydney – Public Buildings - University of Sydney - Fisher Library, 1962.  Presented by the Royal Aust",1897,-,-,4335 [Plan ***],Mitchell Library No. XVI FM1/1155 1169,Appendix G: Archival estrays in the Mitchell Library including those transferred to the Archives Office,
,Sydney,Registrar General. The Old Building remodelled.  Contract No.84.  Drawing No.2.  First floor and second floor plans,1913,-,-,4335 [Plan 2176],Colonial Architect Plan No.,"Appendix B: Architectural Plans, 1848-1967",
,Sydney,Surveyor General’s Office,"1845, 1848-59",-,-,4332 [2/650],-,"Appendix A: Correspondence, c.1837-96",
,Sydney,Mitchell Library  see also  National Library. Section through Manuscript Room etc. Sheet No.12,October 1906,-,-,4335 [Plan 1932],Colonial Architect Plan No. A3026. Signature of architect (W.L. Vernon) appears on the plan,"Appendix B: Architectural Plans, 1848-1967",
,Sydney,Macquarie Street. Military Offices,1853-54,-,-,4332 [2/8151],-,"Appendix A: Correspondence, c.1837-96",
,Sydney,Education Department. Copy of fifth floor plan. Same as plans 1831-2,n.d.,-,-,4335 [Plan 1833],Colonial Architect Plan No.,"Appendix B: Architectural Plans, 1848-1967",
,Sydney,Court of Requests,1849-59,-,-,4332 [2/640A],-,"Appendix A: Correspondence, c.1837-96",
,Sydney,Domain. Boat House,1861-62,-,-,4332 [2/640B],-,"Appendix A: Correspondence, c.1837-96",
,Sydney,Education Department. New offices for the Department of Public Instruction.  Copy of elevation to Loftus Street,4 September 1912,-,-,4335 [Plan 1782],Colonial Architect Plan No. PB18/A1961,"Appendix B: Architectural Plans, 1848-1967",
,Sydney,Treasury Buildings. Portion of Cortile.  Plans and elevation,1917,-,-,4335 [Plan 977],Colonial Architect Plan No. PB25/23. Signature of architect (G. McRae) appears on the plan,"Appendix B: Architectural Plans, 1848-1967",
,Sydney,Central Police Courts (Liverpool Street). Ground floor plan and plan of basement under courts showing passages to dock etc.,-,-,-,4335 [Plan 717],Colonial Architect Plan No. PC125/27,"Appendix B: Architectural Plans, 1848-1967",
,Sydney,"Registrar General, New Offices. Plan No.1.  Basement Floor Plan",November 1908,-,-,4335 [Plan 2276],Colonial Architect Plan No. 3953. Signature of architect (Vernon) appears on the plan,"Appendix B: Architectural Plans, 1848-1967",
,Sydney,"Sydney Dockyard, Repairs to Roadway and quarters of Superintendent of Boats","1846, 1850-51, 1856",-,-,4332 [2/642A],-,"Appendix A: Correspondence, c.1837-96",
,Sydney,Mitchell Library  see also  National Library. Opening for Book Lifts,March 1907,-,-,4335 [Plan 1933],Colonial Architect Plan No. A3028. Signature of architect (W.L. Vernon) appears on the plan,"Appendix B: Architectural Plans, 1848-1967",
,Sydney,Macquarie Street. Removal of fencing,1854-58,-,-,4332 [2/584],-,"Appendix A: Correspondence, c.1837-96",
,Sydney,"Education Department. Copy of fifth floor plan. Same as plans 1831-3, with annotations",n.d.,-,-,4335 [Plan 1834],Colonial Architect Plan No.,"Appendix B: Architectural Plans, 1848-1967",
,Sydney,Court of Requests. Report and estimate of repairs,1858,-,-,4332 [2/632],(In Miscellaneous Estimates and Returns),"Appendix A: Correspondence, c.1837-96",
,Sydney,"Domain. Domain and Botanic Gardens, generally",1848-59,-,-,4332 [2/640B],-,"Appendix A: Correspondence, c.1837-96",
,Sydney,"Education Department. New offices for the Department of Public Instruction.  Copy of elevation to Young Street, No.11",4 September 1912,-,-,4335 [Plan 1783],Colonial Architect Plan No. PB18/A1962. Signature of architect (G. McRae)  appears on the plan,"Appendix B: Architectural Plans, 1848-1967",
,Sydney,"Treasury Buildings. Additions.  Detail of Cortile.  Plan, elevation and section",1916,-,-,4335 [Plan 978],Colonial Architect Plan No. PB25/24. Signature of architect (G. McRae) appears on the plan,"Appendix B: Architectural Plans, 1848-1967",
,Sydney,"Registrar General, New Offices. Plan No.2.  Ground Floor",November 1908,-,-,4335 [Plan 2277],Colonial Architect Plan No. 3954. Signature of architect (Vernon) appears on the plan,"Appendix B: Architectural Plans, 1848-1967",
,Sydney,Sydney Grammar School Site,1855,-,-,4332 [2/642A],-,"Appendix A: Correspondence, c.1837-96",
,Sydney,Mitchell Library  see also  National Library. Details of Book Lifts; large lift and small lift,August 1907,-,-,4335 [Plan 1934],Colonial Architect Plan No. A3030. Signature of architect (W.L. Vernon) appears on the plan,"Appendix B: Architectural Plans, 1848-1967",
,Sydney,Market. Proposed improvements to George Street Markets,1854-58,-,-,4332 [2/584],-,"Appendix A: Correspondence, c.1837-96",
,Sydney,"Education Department. Copy of fifth floor plan. Same as plans 1831-4, with annotations",n.d.,-,-,4335 [Plan 1835],Colonial Architect Plan No.,"Appendix B: Architectural Plans, 1848-1967",
,Sydney,"Treasury Buildings. Removal of three columns to proposed cabinet room, dining room and Kitchen.  Details and cross-sections, with notes",1952,-,-,4335 [Plan 987],Colonial Architect Plan No. PB25/33. Signature of architect (C. Parkes) appears on the plan,"Appendix B: Architectural Plans, 1848-1967",
,Sydney,Domain. Drainage,1848-58,-,-,4332 [2/640B],-,"Appendix A: Correspondence, c.1837-96",
,Sydney,"Education Department. New offices for the Department of Public Instruction.  Copy of Part Sections, No.12",31 October 1912,-,-,4335 [Plan 1784],Colonial Architect Plan No. PB18/A1963. Signature of architect (G. McRae)  appears on the plan,"Appendix B: Architectural Plans, 1848-1967",
,Sydney,Treasury Buildings. Additions.  Detail of interior section and elevations,1916,-,-,4335 [Plan 979],Colonial Architect Plan No. PB25/25. Signature of architect (G. McRae) appears on the plan,"Appendix B: Architectural Plans, 1848-1967",
,Sydney,"Registrar General, New Offices. Plan No.3.  First Floor",November 1908,-,-,4335 [Plan 2278],Colonial Architect Plan No. 3955. Signature of architect (Vernon) appears on the plan,"Appendix B: Architectural Plans, 1848-1967",
,Sydney,Tank Stream,"1854, 1859-60, 1864",-,-,4332 [2/8151],-,"Appendix A: Correspondence, c.1837-96",
,Sydney,National Library Additions:  Steel and reinforced concrete details. Plan and sections,April 1926,-,-,4335 [Plan 1935],Colonial Architect Plan No. A3044. Signature of architect (G.M. Blair) appears on the plan,"Appendix B: Architectural Plans, 1848-1967",
,Sydney,Mint Building,1854-66,-,-,4332 [2/610],-,"Appendix A: Correspondence, c.1837-96",
,Sydney,"Education Department. Copy of fifth floor plan. Same as plans 1831-5, with annotations",n.d.,-,-,4335 [Plan 1836],Colonial Architect Plan No.,"Appendix B: Architectural Plans, 1848-1967",
,Sydney,Treasury Buildings. Block plan showing division of proposed new building into contracts,1895,-,-,4335 [Plan 988],Colonial Architect Plan No. PB25/41,"Appendix B: Architectural Plans, 1848-1967",
,Sydney,Domain. Entrances,1855-58,-,-,4332 [2/640B],-,"Appendix A: Correspondence, c.1837-96",
,Sydney,"Education Department. New offices for the Department of Public Instruction.  Copy of sections and elevations, No.13",13 November 1912,-,-,4335 [Plan 1785],Colonial Architect Plan No. PB18/A1964. Signature of architect (G. McRae)  appears on the plan,"Appendix B: Architectural Plans, 1848-1967",
,Sydney,"Treasury Buildings. Additions.  Detail of Staircase.  Plans, elevation and section",1916,-,-,4335 [Plan 980],Colonial Architect Plan No. PB25/26. Signature of architect (G. McRae) appears on the plan,"Appendix B: Architectural Plans, 1848-1967",
,Sydney,"Registrar General, New Offices. Plan No.4.  Second Floor",November 1908,-,-,4335 [Plan 2279],Colonial Architect Plan No. 3956. Signature of architect (Vernon) appears on the plan,"Appendix B: Architectural Plans, 1848-1967",
,Sydney,Tramways. Pitt Street Tramway,1861,-,-,4332 [2/647],-,"Appendix A: Correspondence, c.1837-96",
,Sydney,National Library Additions:  0.5” Detail of steel roof trusses to  Picture Galleries,January 1928,-,-,4335 [Plan 1936],"Colonial Architect Plan No. A3055. Signature of architect (H.T. Grove, inspecting architect) appears on the plan","Appendix B: Architectural Plans, 1848-1967",
,Sydney,Money Order Office,1862-63,-,-,4332 [2/610],-,"Appendix A: Correspondence, c.1837-96",
,Sydney,"Education Department. Copy of fifth floor plan. Same as plans 1831-6, no annotations",n.d.,-,-,4335 [Plan 1837],Colonial Architect Plan No.,"Appendix B: Architectural Plans, 1848-1967",
,Sydney,Treasury Buildings. Block plan showing division of proposed new building into contracts,1895,-,-,4335 [Plan 989],Colonial Architect Plan No. PB25/42. Signature of architect (Vernon) appears on the plan,"Appendix B: Architectural Plans, 1848-1967",
,Sydney,Domain. Gas lighting,1859-64,-,-,4332 [2/591],-,"Appendix A: Correspondence, c.1837-96",
,Sydney,"Education Department. New offices for the Department of Public Instruction.  Copy of section through corridors, No.14",1912,-,-,4335 [Plan 1786],Colonial Architect Plan No. PB18/A1965. Signature of architect (G. McRae)  appears on the plan,"Appendix B: Architectural Plans, 1848-1967",
,Sydney,Treasury Buildings. Additions.  Steel Columns,1916,-,-,4335 [Plan 981],Colonial Architect Plan No. PB25/27. Signature of architect (G. McRae) appears on the plan,"Appendix B: Architectural Plans, 1848-1967",
,Sydney,"Registrar General, New Offices. Plan No.5.  Third Floor and part roof",November 1908,-,-,4335 [Plan 2280],Colonial Architect Plan No. 3957. Signature of architect (Vernon) appears on the plan,"Appendix B: Architectural Plans, 1848-1967",
,Sydney,Treasury Buildings,1848-63,-,-,4332 [2/648],-,"Appendix A: Correspondence, c.1837-96",
,Sydney,National Library Additions:  0.5” Plan of first floor,September 1905,-,-,4335 [Plan 1937],Colonial Architect Plan No. A3093. Signature of architect (W.L. Vernon) appears on the plan,"Appendix B: Architectural Plans, 1848-1967",
,Sydney,O’Connell Street. Premises for sale,1864,-,-,4332 [2/616],-,"Appendix A: Correspondence, c.1837-96",
,Sydney,"Education Department. Alterations to Ministerial Offices, first floor plan",n.d.,-,-,4335 [Plan 1838],Colonial Architect Plan No. B4550-52,"Appendix B: Architectural Plans, 1848-1967",
,Sydney,Treasury Buildings. Strong Room.  Alternative plan showing roof and floors constructed on Monier System,1896,-,-,4335 [Plan 990],Colonial Architect Plan No. PB25/43. Signature of architect (Vernon) appears on the plan,"Appendix B: Architectural Plans, 1848-1967",
,Sydney,Domain. Lodge,1856,-,-,4332 [2/640B],-,"Appendix A: Correspondence, c.1837-96",
,Sydney,Education Department. Accommodation.  Copy of Ground floor plan (not signed). Dated 1960 on reverse side,August 1957,-,-,4335 [Plan 1787],Colonial Architect Plan No. B1495/79,"Appendix B: Architectural Plans, 1848-1967",
,Sydney,"Treasury Buildings. Detail of Screen to Entrance.  Plan, elevations and section",1917,-,-,4335 [Plan 982],Colonial Architect Plan No. PB25/28. Signature of architect (G. McRae) appears on the plan,"Appendix B: Architectural Plans, 1848-1967",
,Sydney,"Registrar General, New Offices. Plan No.6.  South elevation",November 1908,-,-,4335 [Plan 2281],Colonial Architect Plan No. 3958. Signature of architect (Vernon) appears on the plan,"Appendix B: Architectural Plans, 1848-1967",
,Sydney,"Site for Public Buildings, Bridge and Phillips Streets",-,-,1,4346 [9/5879],-,"Appendix E: Photographs of public buildings, c.1880-1940",
,Sydney,Vaccine Institutions,1851-66,-,-,4332 [2/649],-,"Appendix A: Correspondence, c.1837-96",
,Sydney,"Mitchell Wing Extension of National Library:  Plans of basement, ground floor, first floor, with elevations",June 1919,-,-,4335 [Plan 1938],Colonial Architect Plan No. A3115. Signature of architect (G. McRae) appears on the plan,"Appendix B: Architectural Plans, 1848-1967",
,Sydney,Parliament House. Executive Council,1856,-,-,4332 [2/605A],-,"Appendix A: Correspondence, c.1837-96",
,Sydney,Equity Court (Chancery Square). Plan of alterations,1889,-,-,4335 [Plan 1839],Colonial Architect Plan No. 263/89,"Appendix B: Architectural Plans, 1848-1967",
,Sydney,Treasury Buildings. Proposed additions and alterations.  Ground plan,-,-,-,4335 [Plan 991],Colonial Architect Plan No. PB25/44,"Appendix B: Architectural Plans, 1848-1967",
,Sydney,Domain. Sufferance Occupancies - enclosure of Land for Bathing Establishment,"1839, 1846-48, 1850-52",-,-,4332 [2/640B],-,"Appendix A: Correspondence, c.1837-96",
,Sydney,Education Department. Accommodation.  Copy of Ground floor plan (not signed). Same as plan 1787,August 1957,-,-,4335 [Plan 1788],Colonial Architect Plan No. B1495/79,"Appendix B: Architectural Plans, 1848-1967",
,Sydney,"Treasury Buildings. Detail of marble work of staircase, basement, ground and first floor plans, and cross-section",1917,-,-,4335 [Plan 983],Colonial Architect Plan No. PB25/29. Signature of architect (G. McRae) appears on the plan,"Appendix B: Architectural Plans, 1848-1967",
,Sydney,"Registrar General, New Offices. Plan No.7.  North elevation, north elevation of Court, part  roof plan",November 1908,-,-,4335 [Plan 2282],Colonial Architect Plan No. 3959. Signature of architect (Vernon) appears on the plan,"Appendix B: Architectural Plans, 1848-1967",
,Sydney,Water Police and Harbour Master’s Office,"1841, 1851-56",-,-,4332 [2/580],-,"Appendix A: Correspondence, c.1837-96",
,Sydney,"Mitchell Wing Extension of National Library: Detail of roof trusses, roof plan, block plan, elevation and sections",June 1919,-,-,4335 [Plan 1939],Colonial Architect Plan No. A3116. Signature of architect (G. McRae) appears on the plan,"Appendix B: Architectural Plans, 1848-1967",
,Sydney,"Free Public Library. Copy of ground plan, first floor plan, basement and section",-,-,-,4335 [Plan 1842],Colonial Architect Plan No. 5331/26,"Appendix B: Architectural Plans, 1848-1967",
,Sydney,Treasury Buildings. Additions.  Section and back elevation,1895,-,-,4335 [Plan 992],Colonial Architect Plan No. PB25/45. Signature of architect (Vernon) appears on the plan,"Appendix B: Architectural Plans, 1848-1967",
,Sydney,Domain. Wall,1861-65,-,-,4332 [2/640B],-,"Appendix A: Correspondence, c.1837-96",
,Sydney,"Education Department. Accommodation.  Copy of Ground floor plan, annotated (not signed)",n.d.,-,-,4335 [Plan 1789],Colonial Architect Plan No. B52/11025,"Appendix B: Architectural Plans, 1848-1967",
,Sydney,Custom's House,1845-66,-,-,4332 [2/579],-,"Appendix A: Correspondence, c.1837-96",
,Sydney,"Treasury Buildings. Record plan showing accommodation, first floor plan",1931,-,-,4335 [Plan 984],Colonial Architect Plan No. PB25/30. Signature of architect (Evan Smith) appears on the plan,"Appendix B: Architectural Plans, 1848-1967",
,Sydney,"Registrar General, New Offices. Plan No.8.  East and west elevations",November 1908,-,-,4335 [Plan 2283],Colonial Architect Plan No. 3960. Signature of architect (Vernon) appears on the plan,"Appendix B: Architectural Plans, 1848-1967",
,Sydney,Water Police Office,1850-58,-,-,4332 [2/645],-,"Appendix A: Correspondence, c.1837-96",
,Sydney,Mitchell Wing Extension of National Library: Sketch plan in conjunction with Future Free Public Library.  Plan of first floor,June 1905,-,-,4335 [Plan 1940],Colonial Architect Plan No. 3127. Signature of architect (W.L. Vernon) appears on the plan,"Appendix B: Architectural Plans, 1848-1967",
,Sydney,Parliament House. Houses of Parliament - Competitive designs and specifications,1859-63,-,-,4332 [2/601],-,"Appendix A: Correspondence, c.1837-96",
,Sydney,"Government House  see also  Parramatta, Old Government House. Amended design of New Breakfast Room.  Plan, elevations and sections",1880,-,-,4335 [Plan 1020],Colonial Architect Plan No. PB27/47. Signature of architect (Vernon) appears on the plan,"Appendix B: Architectural Plans, 1848-1967",
,Sydney,Treasury Buildings. Additions.  First floor plan of completed building,1896,-,-,4335 [Plan 993],Colonial Architect Plan No. PB25/46. Signature of architect (Vernon) appears on the plan,"Appendix B: Architectural Plans, 1848-1967",
,Sydney,Elizabeth Street Necropolis,1860,-,-,4332 [2/615],-,"Appendix A: Correspondence, c.1837-96",
,Sydney,Education Department. Pencil tracing of ground floor plan showing accommodation,n.d.,-,-,4335 [Plan 1790],Colonial Architect Plan No. -,"Appendix B: Architectural Plans, 1848-1967",
,Sydney,"Treasury Buildings. Record plan showing accommodation, ground floor plan",1931,-,-,4335 [Plan 985],Colonial Architect Plan No. PB25/31. Signature of architect (Evan Smith) appears on the plan,"Appendix B: Architectural Plans, 1848-1967",
,Sydney,"Registrar General, New Offices. Plan No.9.  Section through cart entrance, Section on AA, Section on BB",November 1908,-,-,4335 [Plan 2284],Colonial Architect Plan No. 3961. Signature of architect (Vernon) appears on the plan,"Appendix B: Architectural Plans, 1848-1967",
,Sydney,Water Police Office,1859-66,-,-,4332 [2/644],-,"Appendix A: Correspondence, c.1837-96",
,Sydney,National Art Gallery. Extension.  Front elevation and sections,1895,-,-,4335 [Plan 1941],Colonial Architect Plan No. 141 95. Signature of architect (Vernon) appears on the plan,"Appendix B: Architectural Plans, 1848-1967",
,Sydney,Parliament House. Legislative Assembly,"1855-63, 1856-66",-,-,"4332 [2/605A, 2/605B]",-,"Appendix A: Correspondence, c.1837-96",
,Sydney,Government Printing Office. Proposed lay-out of new building.  Main section,1839,-,-,4335 [Plan 1000],Colonial Architect Plan No. PB26/174,"Appendix B: Architectural Plans, 1848-1967",
,Sydney,Treasury Buildings. Elevation of building when completed,1895,-,-,4335 [Plan 994],Colonial Architect Plan No. PB25/47. Signature of architect (Vernon) appears on the plan,"Appendix B: Architectural Plans, 1848-1967",
,Sydney,"Engineer-in-Chief, Harbours & Rivers, Office",1859-64,-,-,4332 [2/598],-,"Appendix A: Correspondence, c.1837-96",
,Sydney,Supreme Court,"1846-60, 1859-66",-,-,"4332 [2/8156, 2/8157]",-,"Appendix A: Correspondence, c.1837-96",
,Sydney,Education Department. Accommodation.  Copy of first floor plan (not signed),n.d.,-,-,4335 [Plan 1791],Colonial Architect Plan No. B52/11025,"Appendix B: Architectural Plans, 1848-1967",
,Sydney,Central Police Courts (Liverpool Street). Ground plan showing proposed arrangement for utilising section proposed to be purchased,-,-,-,4335 [Plan 718],Colonial Architect Plan No. PC125/28,"Appendix B: Architectural Plans, 1848-1967",
,Sydney,"Treasury Buildings. Record plan showing accommodation, basement plan",1931,-,-,4335 [Plan 986],Colonial Architect Plan No. PB25/32. Signature of architect (Evan Smith) appears on the plan,"Appendix B: Architectural Plans, 1848-1967",
,Tabulam,Court House,1847-48,-,-,4332 [2/627],-,"Appendix A: Correspondence, c.1837-96",
,Tabulam,Police Office,1848-51,-,-,4332 [2/627],-,"Appendix A: Correspondence, c.1837-96",
,Talbragar,Police Buildings,1861-63,-,-,4332 [2/627],-,"Appendix A: Correspondence, c.1837-96",
,Tambaroora,Court House and Lock-up,1859,-,-,4332 [2/627],-,"Appendix A: Correspondence, c.1837-96",
,Tambaroora,Police Office,1860,-,-,4332 [2/627],-,"Appendix A: Correspondence, c.1837-96",
,Tambaroora,Watch House,1861-63,-,-,4332 [2/627],-,"Appendix A: Correspondence, c.1837-96",
,Tamworth,Proposed Park Gates,1926,-,101,18195 [9/5878],-,"Appendix F: Plans, elevations of war memorials, 1921-26",
,Tamworth,Gaol. Plan of gallows,-,-,-,4335 [Plan 863],Colonial Architect Plan No. PC471/9,"Appendix B: Architectural Plans, 1848-1967",
,Tamworth,Cemetery,1861-63,-,-,4332 [2/627],-,"Appendix A: Correspondence, c.1837-96",
,Tamworth,Court and Watch House,1853-66,-,-,4332 [2/627],-,"Appendix A: Correspondence, c.1837-96",
,Tamworth,Crown Lands Office,"1857, 1861-65",-,-,4332 [2/627],-,"Appendix A: Correspondence, c.1837-96",
,Tamworth,Escort Stations “Loder’s” (Quirindi),1853-54,-,-,4332 [2/627],-,"Appendix A: Correspondence, c.1837-96",
,Tamworth,Gold Receiver’s Office,1859,-,-,4332 [2/627],-,"Appendix A: Correspondence, c.1837-96",
,Tamworth,Police Station,1862,-,-,4332 [2/627],-,"Appendix A: Correspondence, c.1837-96",
,Tamworth,Post and Telegraph Office,1863-66,-,-,4332 [2/627],-,"Appendix A: Correspondence, c.1837-96",
,Tamworth,Court House,-,-,42,4346 [9/5879],-,"Appendix E: Photographs of public buildings, c.1880-1940",
,Tamworth,Gaol,-,-,43,4346 [9/5879],-,"Appendix E: Photographs of public buildings, c.1880-1940",
,Tamworth,Hospital,c.1921,-,108-113,4346 [9/5879],-,"Appendix E: Photographs of public buildings, c.1880-1940",
,Tamworth,Farrer Agricultural High School,-,-,131,4346 [9/5879],-,"Appendix E: Photographs of public buildings, c.1880-1940",
,Tamworth,Post Office,-,-,41,4346 [9/5879],-,"Appendix E: Photographs of public buildings, c.1880-1940",
,Tamworth,Police Quarters,-,-,44,4346 [9/5879],-,"Appendix E: Photographs of public buildings, c.1880-1940",
,Taralga,Proposed War Memorial,1921,-,42,18195 [9/5878],-,"Appendix F: Plans, elevations of war memorials, 1921-26",
,Taralga,Court House. Plan of fencing,-,-,-,4335 [Plan 864],Colonial Architect Plan No. PC474/4,"Appendix B: Architectural Plans, 1848-1967",
,Taralga,Court House. Site plan,1877,-,-,4335 [Plan 865],Colonial Architect Plan No. PC474/5,"Appendix B: Architectural Plans, 1848-1967",
,Taralga,"Court House. Plan, elevations and sections",1875,-,-,4335 [Plan 866],Colonial Architect Plan No. PC474/6,"Appendix B: Architectural Plans, 1848-1967",
,Taralga,Police Station,1862-64,-,-,4332 [2/627],-,"Appendix A: Correspondence, c.1837-96",
,Tarana,Proposed Soldiers’ Memorial,1923,-,77,18195 [9/5878],-,"Appendix F: Plans, elevations of war memorials, 1921-26",
,Tarban Creek,Lunatic Asylum,1845-55,-,-,4332 [2/581],-,"Appendix A: Correspondence, c.1837-96",
,Tarban Creek,Lunatic Asylum,1855-63,-,-,4332 [2/582],-,"Appendix A: Correspondence, c.1837-96",
,Tarban Creek,Lunatic Asylum (from the Designs of Public Buildings series),1837,Reel 2660,-,4334 [X693],-,"Appendix C: Designs of public buildings, 1837",
,Tarcutta,Police Quarters. Full size details.  Bears the Colonial Architect’s Stamp and no.85/191. Dated 18 February 1885,1897,-,-,4335 [Plan 2337],Mitchell Library No. SVIB TARC/1,Appendix G: Archival estrays in the Mitchell Library including those transferred to the Archives Office,
,Taree,Memorial Clock Tower,c.1923,-,99,18195 [9/5878],-,"Appendix F: Plans, elevations of war memorials, 1921-26",
,Taree,"Police Buildings. Plans, elevations and sections",1882,-,-,4335 [Plan 867],Colonial Architect Plan No. PC477/14,"Appendix B: Architectural Plans, 1848-1967",
,Taree,Court and Watch House,1864-65,-,-,4332 [2/622],-,"Appendix A: Correspondence, c.1837-96",
,Taree,Court House,1856-66,-,-,4332 [2/628],-,"Appendix A: Correspondence, c.1837-96",
,Taree,"Technical College. 8 black/white negatives of plans, elevations and sections.  black/white photos of the building are filed SPF/Taree, N.S.W. - Schools and Colleges – Taree Tech. College, 1964.  Winner of the 1964 Blacket Award, by E.H. Farmer, Governme",1897,-,-,4335 [Plan ***],Mitchell Library No. FM1/1173-1180,Appendix G: Archival estrays in the Mitchell Library including those transferred to the Archives Office,
,Temora,War Memorial competition,c.1921,-,5-Jul,18195 [9/5878],-,"Appendix F: Plans, elevations of war memorials, 1921-26",
,Temora,War Memorial to be erected,c.1921,-,35,18195 [9/5878],-,"Appendix F: Plans, elevations of war memorials, 1921-26",
,Temora,"Court House. Plan, elevations and section",1880,-,-,4335 [Plan 868],Colonial Architect Plan No. PC479/6,"Appendix B: Architectural Plans, 1848-1967",
,Temora,"Court House. Proposed additions.  Plan, elevations and sections",1881,-,-,4335 [Plan 869],Colonial Architect Plan No. PC479/7,"Appendix B: Architectural Plans, 1848-1967",
,Tempe,Public School,1873,-,-,4338 [X18],-,"Appendix D: Plans and specifications of schools and school residences, 1861-1910",
,Ten Mile Creek,Police Station,1862-63,-,-,4332 [2/628],-,"Appendix A: Correspondence, c.1837-96",
,Tenterfield,"Court House. Plans, elevations and sections",1878,-,-,4335 [Plan 870],Colonial Architect Plan No. PC480/5,"Appendix B: Architectural Plans, 1848-1967",
,Tenterfield,"Court House. Plans, elevations and sections",1877,-,-,4335 [Plan 873],Colonial Architect Plan No. PC480/10,"Appendix B: Architectural Plans, 1848-1967",
,Tenterfield,Court House and Gaol. Plan of site fencing and gates,1882,-,-,4335 [Plan 872],Colonial Architect Plan No. PC480/9,"Appendix B: Architectural Plans, 1848-1967",
,Tenterfield,"Police Buildings. Plans, elevations and sections",1883,-,-,4335 [Plan 871],Colonial Architect Plan No. PC480/8,"Appendix B: Architectural Plans, 1848-1967",
,Tenterfield,Court House,1857-64,-,-,4332 [2/626],-,"Appendix A: Correspondence, c.1837-96",
,Tenterfield,Hospital,1864,-,-,4332 [2/626],-,"Appendix A: Correspondence, c.1837-96",
,Tenterfield,"Lock-up, Watch House",1860-65,-,-,4332 [2/626],-,"Appendix A: Correspondence, c.1837-96",
,Tenterfield,Police Station,"1848-49, 1855, 1862-63",-,-,4332 [2/626],-,"Appendix A: Correspondence, c.1837-96",
,Tenterfield,Telegraph Station,1862-65,-,-,4332 [2/626],-,"Appendix A: Correspondence, c.1837-96",
,Three Rivers,Watch House (between Wellington & Molong),-,-,-,4332 [2/628],-,"Appendix A: Correspondence, c.1837-96",
,Timbarra,Court House and Watch House,"1860, 1862",-,-,4332 [2/627],-,"Appendix A: Correspondence, c.1837-96",
,Timbarra,Lock-up,1865,-,-,4332 [2/627],-,"Appendix A: Correspondence, c.1837-96",
,Timbarra,Police Stables,1864,-,-,4332 [2/627],-,"Appendix A: Correspondence, c.1837-96",
,Tinonee,Court House and Lock-up,1891-98,-,-,4332 [2/8165],-,"Appendix A: Correspondence, c.1837-96",
