,SURNAME,FIRSTNAME,RESIDENCE,DISTRICT,SITUATION,DATE OF LICENCE,LICENCE,COPY,ITEM,REMARKS,SERIES,
,TRAPAND,F P,Port Macquarie,McLeay River,Northern,02/03/1837,0272,5067,[4/91],,NRS 14363,
,TRAPPIT,(Messrs),Fredericks Valley,Wellington,Wallandrie,21/09/1839,0397,5068,[4/92],and LANG,NRS 14363,
,TRAPPITT,W T (Mr),Bathurst,Wellington,Wallendhruw,25/09/1840,0392,5070,[4/94],"and LAING, A",NRS 14363,
,TRAVELLYAN,-,Lachlan,Lachlan,Boorowa River (On the),14/08/1843,0121,5075,[4/101],and GRANT,NRS 14363,
,TREVELLYAN,-,-,Lachlan,Bandamine,14/01/1846,1128,5081,[4/106],and GRANT; or TREVALLYN,NRS 14363,
,TREVELYAN,(Messrs),Hume (Upper),Murrumbidgee,Hume (Upper),16/08/1844,0147,5077,[4/103],or TREVALLYN; and GRANT,NRS 14363,
,TREVELYAN,(Messrs),Bendinine,Lachlan,Bendinine,16/08/1844,0146,5077,[4/103],or TREVALLYN; and GRANT,NRS 14363,
,TREVELYAN,-,-,Lachlan,Douglass,09/09/1845,0180,5079,[4/105],and GRANT; or TREVALLYN,NRS 14363,
,TREVELYAN,-,-,Murrumbidgee,Cencobine,04/10/1845,0870,5081,[4/106],or TREVALLYN; and GRANT,NRS 14363,
,TREVELYAN,William Pitt,Bendining on the Boorow,Lachlan,Boorowa River (Station on the),12/11/1842,0640,5074,[4/99],"and GRANT, James McPherson",NRS 14363,
,TREVETHAN,-,-,Darling Downs,Jerica?/Terica?,21/03/1846,1204,5081,[4/108],and DITMAS,NRS 14363,
,TRIMMER,-,-,Liverpool Plains,-,24/10/1844,0695,5078,[4/102],and BROWN,NRS 14363,
,TRIMMER,-,-,Liverpool Plains,Bucklebone,06/10/1845,0876,5081,[4/106],and BROWN,NRS 14363,
,TRIMMER,-,-,Liverpool Plains,Burryabar,06/10/1845,0875,5081,[4/106],and BROWN,NRS 14363,
,TRIMMER,-,-,Liverpool Plains,Ulah,06/10/1845,0877,5081,[4/106],and BROWN,NRS 14363,
,TROTT,John,-,Lachlan,Stoney Creek,24/09/1845,0427,5080,[4/107],,NRS 14363,
,TROTT,John,-,Lachlan,Billybong,24/09/1845,0428,5080,[4/107],,NRS 14363,
,TROTT,John,Stoney Creek,Lachlan,Stoney Creek,24/08/1842,0279,5073,[4/98],,NRS 14363,
,TROTT,John,Stoney Creek,Lachlan,Stoney Creek,21/09/1841,0430,5072,[4/97],,NRS 14363,
,TROTT,John,Stoney Creek,Lachlan,Stoney Creek,19/08/1844,0153,5077,[4/103],,NRS 14363,
,TROTT,John,Stony Creek,Lachlan,Stony Creek,26/09/1843,0367,5075,[4/101],,NRS 14363,
,TROTT,John,Warranboogy,Lachlan,Warranboogy,02/11/1839,0496,5069,[4/93],,NRS 14363,
,TROY,Nicholas,Killamacat,Murrumbidgee,Killamacat,30/09/1843,0540,5076,[4/100],,NRS 14363,
,TROY,Nicholas,Killamacat,Murrumbidgee,Killamacat,05/08/1841,0266,5072,[4/97],,NRS 14363,
,TROY,Nicholas,Killamacat,Murrumbidgee,Killamacat,29/07/1842,0182,5073,[4/98],,NRS 14363,
,TROY,Nicholas,-,Murrumbidgee,Kilmicat,28/09/1844,0484,5078,[4/102],,NRS 14363,
,TUCKER,James,Gugalong on Hume River,Murrumbidgee,Gugalong,29/07/1839,0208,5068,[4/92],,NRS 14363,
,TUNN,Jasper,Yarrallar,Upper Shoalhaven,Southern,05/07/1837,0368,5067,[4/91],,NRS 14363,
,TURNER,(Messrs),Queen Charlottes Vale,Wellington,Burrawang; Murangle; Stringy Bark; Doughboy Creek; Springs; Cadrambles; Garotby,18/12/1841,0581,5072,[4/97],and DUKE,NRS 14363,
,TURNER,(Messrs),Bathurst,Wellington,Buckinba and Bogan,02/09/1839,0323,5068,[4/92],and DUKE,NRS 14363,
,TURNER,Edward,"Yarrabong, Maitland",Liverpool Plains,Mockai Station,19/06/1840,0020,5069,[4/93],,NRS 14363,
,TURNER,Edward,Maitland,Liverpool Plains,Burns Station Mokai River,29/07/1839,0213,5068,[4/92],"Other names mentioned: BURNS, (Station)",NRS 14363,
,TURNER,John E,Limestone Plains,Murray,Western,16/05/1838,0110,5067,[4/91],Other names mentioned: HALL/HULL? (Mr),NRS 14363,
,TURNER,John Entwistle,Yumburra,Murrumbidgee,Yumberra,31/07/1840,0214,5069,[4/93],,NRS 14363,
,TURNER,John Entwistle,Yumburra,Murrumbidgee,Yamburra?,26/10/1841,0563a,5072,[4/97],,NRS 14363,
,TURNER,T,Bathurst,Wellington,Buckinbar,15/09/1842,0396,5074,[4/99],(Trustees of),NRS 14363,
,TURNER,Thomas,Bathurst,Wellington (beyond),Western,19/05/1837,0339,5067,[4/91],,NRS 14363,
,TURNER,Thomas,Queen Charlottes Vale,Wellington,Burrawong Marangle Stingy Bark Creek; Springs; Cadumbles?; Gurothery?,04/07/1840,0144,5069,[4/93],"and DUKE, Robert",NRS 14363,
,TURNER,Thomas,-,Wellington,Wollandra,30/09/1845,0626,5080,[4/107],,NRS 14363,
,TURNER,Thomas,Queen Charlottes Vale,Wellington,Buckinba Little River; Carbunma; Broken Plank; Marundin/Marundoo?; Curra Creek; Coockeleroo; Geary,15/09/1840,0345,5070,[4/94],(Agent for John Terry),NRS 14363,
,TURNER,Thomas,-,Wellington,Woolandra,24/09/1844,0358,5077,[4/103],,NRS 14363,
,TURNER,Walter,-,Maneroo,Coomer Creek,07/11/1845,1038,5081,[4/106],,NRS 14363,
,TURNER,Walter,-,Maneroo,Cottington's Station,22/10/1844,0692,5078,[4/102],Other names mentioned: COTTINGTON (Station),NRS 14363,
,TURNER,William,Taroom,Moreton Bay,Taroom,15/08/1845,0033,5079,[4/105],,NRS 14363,
,TURNER,William,-,New England,Furracabad,22/01/1845,0795,5078,[4/104],,NRS 14363,
,TWADDLE,-,Logan (North),Wellington,Gunning,05/03/1845,0828,5078,[4/104],and HOOD,NRS 14363,
,TWADDLE,-,-,Wellington,Gunning,30/09/1845,0670,5080,[4/107],and HOOD,NRS 14363,
,TYRELL,G N,Gunnerie,Liverpool Plains,Gunnerie on the Gwydir River,17/08/1839,0273,5068,[4/92],,NRS 14363,
,TYRRELL,George Nugent,Gunerai,Liverpool Plains,Gunerai on Gwydir River and Reedy Creek,16/06/1840,0012,5069,[4/93],,NRS 14363,
,TYSSON,John,-,Murrumbidgee,Bindoolah?/Bendoolah?,25/11/1845,1063,5081,[4/106],"and TYSSON, William",NRS 14363,
,TYSSON,William,-,Murrumbidgee,Bindoolah?/Bendoolah?,25/11/1845,1063,5081,[4/106],"and TYSSON, John",NRS 14363,
,UHR,-,-,Moreton Bay,Wivenhoe,10/10/1845,0940,5081,[4/106],and FERRITER,NRS 14363,
,UHR,Edmond,Mooki,Cassilis,Northern,14/01/1837,0119,GvtG,,,NRS 14363,
,UHR,Edmund B,Sydney,Invermein,Northern,26/05/1838,0121,5067,[4/91],,NRS 14363,
,UHR,Edmund B,Liverpool,Liverpool Plains,Moone?/Moorie?/Mooki?,23/06/1840,0024,5069,[4/93],,NRS 14363,
,UHR,Edmund Blucher,Mooki,Liverpool Plains,Mooki and adjoining lands,05/07/1839,0048,5068,[4/92],,NRS 14363,
,UHR,John,Bungebar,Aminida River,Western,30/06/1838,0269,5067,[4/91],Other names mentioned: JONES (Mr),NRS 14363,
,UNDERWOOD,Thomas,Bowning,Lachlan,Lachlan district,30/09/1840,0489,5070,[4/94],,NRS 14363,
,UNDERWOOD,Thomas,Bowning,Lachlan,Lachlan Dist,30/06/1841,0077,5070,[4/95],"£10 per B.C. HARRISON; Other names mentioned: HARRISON, B C",NRS 14363,
,UNIT,-,-,Murrumbidgee,Sandy Hills,06/01/1846,1123,5081,[4/106],and PINKERTON,NRS 14363,
,VARDY,J,Menangle,Murrumbidgee,Southern,14/01/1837,0036,GvtG,,,NRS 14363,
,VARDY,John,-,Murrumbidgee,Worana,19/09/1845,0345,5079,[4/105],,NRS 14363,
,VARDY,John,Worana Creek,Murrumbidgee,Worana Creek,20/09/1843,0295,5075,[4/101],,NRS 14363,
,VARDY,John,-,Murrumbidgee,Worana?/Urana?,10/09/1844,0271,5077,[4/103],,NRS 14363,
,VARDY,John (Junior),Manangle,Murrumbidgee,Worana Creek,29/05/1843,0742,5074,[4/99],,NRS 14363,
,VARNEY,Joseph,Carrott,Maneroo,Carrott,29/09/1842,0535,5074,[4/99],,NRS 14363,
,VARNEY,Joseph Samuel,Snowy River,Maneroo,Varney's Station,08/08/1839,0237,5068,[4/92],,NRS 14363,
,VARNEY,Joseph Samuel,Snowy River,Maneroo,Varney's Station,02/07/1842,0726,5071,[4/96],,NRS 14363,
,VEALE,John,Sydney,Monaroo,Southern,16/06/1838,0186,5067,[4/91],,NRS 14363,
,VERGE,John,Macleay River (The),Macquarie,Bounded on the East by the sea on the North by the Bellingen River on the South by the Nambucca River and on the West by the Mountains and called Verges Station,28/09/1842,0522,5074,[4/99],,NRS 14363,
,VERNER,William,-,Wellington,Moombal,28/09/1844,0528,5078,[4/102],,NRS 14363,
,VERNER,William,-,Wellington,Moomble,27/09/1845,0548,5080,[4/107],,NRS 14363,
,VERNER,William (Colonel),Bathurst,Wellington,Newria on the Bell River,22/07/1840,0174,5069,[4/93],,NRS 14363,
,VERNER,William (Colonel),Bathurst,Wellington,Navan on the Bell River,31/08/1841,0362,5072,[4/97],,NRS 14363,
,VERNON,William (Colonel),Bathurst,Wellington,Naran on the Bell River,02/07/1842,0086,5073,[4/98],,NRS 14363,
,VERNOR,William,-,Wellington,Moombal,09/09/1843,0225,5075,[4/101],or VERNER,NRS 14363,
,VIDAL,(Messrs),Murrurrundee,Liverpool Plains,-,24/06/1842,0705,5071,[4/96],and PAYNE,NRS 14363,
,VIDAL,F (Reverend),-,Liverpool Plains,Wearis Creek,25/09/1845,0480,5080,[4/107],,NRS 14363,
,VIDAL,F (Reverend),Sydney,Liverpool Plains,Werrie Creek,09/11/1843,0612,5076,[4/100],,NRS 14363,
,VIDAL,F (Reverend),Sydney,Liverpool Plains,-,25/09/1844,0397,5078,[4/102],,NRS 14363,
,VIDALL,-,Scone,Liverpool Plains,Werries Creek,24/03/1843,0711,5074,[4/99],or VIDAL; and PAYNE,NRS 14363,
,VIGNE,F,-,New England,Wandsworth (West),26/09/1845,0494,5080,[4/107],,NRS 14363,
,VILES,John Brown,Molong Nyrang,Lachlan,Killibong; Guamer Hill; Tea Tree Creek Kengaluba Molong,15/07/1839,0148,5068,[4/92],"and PASSMORE, John",NRS 14363,
,VINCENT,(Messrs),Butheroe,Bligh,Butheroe,13/08/1844,0131,5077,[4/103],and NEVILLE,NRS 14363,
,VINCENT,Isaac,Mundarlo,Murrumbidgee,Mundarlo,18/09/1841,0420,5072,[4/97],,NRS 14363,
,VINCENT,Isaac,Mundarlo,Murrumbidgee,Mundarlo and Mithasarey?,13/12/1844,0754,5078,[4/102],,NRS 14363,
,VINCENT,Isaac,Mundarlo,Murrumbidgee,Mundarlow,27/11/1843,0625,5076,[4/100],,NRS 14363,
,VINCENT,Isaac,-,Murrumbidgee,Mundarlo,26/09/1845,0508,5080,[4/107],,NRS 14363,
,VINCENT,Isaac,Mundarlo,Murrumbidgee,Mundarlo,28/09/1842,0528,5074,[4/99],,NRS 14363,
,VINCENT,Isaac,Mundarlo,Murrumbidgee,Mundarlo,15/05/1841,0626,5070,[4/95],,NRS 14363,
,VINCENT,James,-,Bligh,Botheroe,12/08/1845,0022,5079,[4/105],,NRS 14363,
,VINCENT,James,-,Bligh,Mumbedah,12/08/1845,0023,5079,[4/105],,NRS 14363,
,VINCENT,James,Carvil? Creek,Bligh,Butherow,29/09/1840,0424,5070,[4/94],"and NEVELL, John; or NEVILLE; or NEVILL",NRS 14363,
,VIVERS,William,"Hillend, Hunters River",New England,Beardy Plains,22/08/1839,0282,5068,[4/92],,NRS 14363,
,VIVERS,William,-,New England,Kings Plains,18/02/1846,1158,5081,[4/106],,NRS 14363,
,VIVERS,William,Hillend,New England,"Kings Plains, district of Beardy Plains",15/07/1842,0137,5073,[4/98],Issued as 138,NRS 14363,
,VIVERS,William,Hillend,New England,"Kings Plains, district of Beardy Plains",16/08/1841,0307,5072,[4/97],,NRS 14363,
,VIVERS,William,Hillend,New England,"Kings Plains, district of Beardy Plains",30/09/1840,0493,5070,[4/94],,NRS 14363,
,VIVERS,William,-,New England,Frasers Creek,18/02/1846,1159,5081,[4/106],,NRS 14363,
,VORNOR,(Messrs),Tungullock,Murrumbidgee,Tungullock,13/07/1842,0736a,5071,[4/96],and HOLLORAN; Index on reel VERNOR and HOLLOWAY,NRS 14363,
,VYDAL,George,Werris Creek,Liverpool Plains,Werris Creek,27/06/1840,0058,5069,[4/93],"and PAYNE, Richard Bourke",NRS 14363,
,VYNER,F,-,Murrumbidgee,Mungilidgenela,28/09/1844,0524,5078,[4/102],,NRS 14363,
,VYNER,F W,-,Murrumbidgee,Mungilidgenula,27/09/1845,0551,5080,[4/107],,NRS 14363,
,WADE,William,Stockyard Flat,Maneroo,Stockyard Flat,30/06/1840,0131,5069,[4/93],,NRS 14363,
,WAIT,John,Sutton Forest,Monaroo,Southern,14/01/1837,0118,GvtG,,,NRS 14363,
,WAIT,John (Junior),-,Maneroo,Warren's Corner,30/09/1844,0574,5078,[4/102],,NRS 14363,
,WAITE,John,Browley Farm,Murrumbidgee,Warborough,27/08/1840,0305,5070,[4/94],,NRS 14363,
,WAITE,John,Monaroo,Monaroo,Southern,30/06/1838,0272,5067,[4/91],"Other names mentioned: LAMBIE, John (CCL)",NRS 14363,
,WAITE,John,Browley near Berrima,Maneroo,Tom Groggin,27/08/1839,0292,5068,[4/92],,NRS 14363,
,WAITE,John,Browley,Maneroo,Tomgroggin,05/08/1842,0216,5073,[4/98],,NRS 14363,
,WAITE,John,Browley,Maneroo,Tomgroggin,28/09/1841,0474,5072,[4/97],,NRS 14363,
,WAITE,John,Browley,Maneroo,Tomgroggin,27/08/1840,0304,5070,[4/94],,NRS 14363,
,WAITE,John,Browley Berrima,Murrumbidgee,Waggrah,27/08/1839,0293,5068,[4/92],,NRS 14363,
,WAITE,John (Junior),-,Maneroo,Warren's Point,30/09/1845,0774,5080,[4/107],,NRS 14363,
,WALCH,John,Urongbong,Bligh,"Urongbong, Waranbungles",10/02/1843,0690,5074,[4/99],"and FISHER, Thomas",NRS 14363,
,WALCH,Michael,Lachlan River,Wellington,Burrenderry?/Bunendeny?,20/09/1839,0394,5068,[4/92],,NRS 14363,
,WALES,James Egan,Bongeledger on Toomat River,Murrumbidgee,Bongeledger,12/07/1839,0122,5068,[4/92],,NRS 14363,
,WALES,William,Bowing Creek/Bowens Creek,King,Western,25/04/1837,0324,5067,[4/91],,NRS 14363,
,WALES,William,Yass,Yass,Western,24/01/1838,0007,5067,[4/91],,NRS 14363,
,WALKER,(Messrs),Kings Plains,Wellington,Tomingly,28/08/1843,0158,5075,[4/101],and SULLIVAN,NRS 14363,
,WALKER,(Messrs),Tomingley,Wellington,Osbely?/Osbelz?,08/08/1842,0222,5073,[4/98],and SULLIVAN,NRS 14363,
,WALKER,-,-,Wellington,Tominglee,13/09/1844,0289,5077,[4/103],and SULLIVAN,NRS 14363,
,WALKER,-,-,Wellington,Tomingley,13/09/1845,0219,5079,[4/105],and SULLIVAN,NRS 14363,
,WALKER,-,Wambangaland,Wellington,Osbely?/Osterly?,26/07/1841,0206,5070,[4/95],and SULLIVAN,NRS 14363,
,WALKER,C J,Clarence (Upper),Port Macquarie,Clarence (Upper),30/06/1841,0645,5070,[4/95],,NRS 14363,
,WALKER,C J,-,Clarence River,-,15/09/1845,0234,5079,[4/105],,NRS 14363,
,WALKER,C J,-,Clarence River,New Bold Range,11/10/1843,0573,5076,[4/100],,NRS 14363,
,WALKER,C J,Newbold Grange,Clarence River,Newbold Grange,28/08/1844,0205,5077,[4/103],,NRS 14363,
,WALKER,Charles James,Clarence River,Clarence River,New Bold Grange,21/09/1842,0424,5074,[4/99],,NRS 14363,
,WALKER,Charles James,Clarence River,Port Macquarie,Newbold Grange on the Clarence River,10/01/1842,0606,5071,[4/96],,NRS 14363,
,WALKER,James,-,Bligh,Round Hills,17/09/1845,0287,5079,[4/105],,NRS 14363,
,WALKER,James,Wambangulang,Wellington,-,28/09/1840,0419,5070,[4/94],"and PHILLIPS, S; and SULLIVAN, James",NRS 14363,
,WALKER,James,-,Liverpool Plains,-,30/09/1844,0566,5078,[4/102],,NRS 14363,
,WALKER,James,-,Bligh,Gurianima,17/09/1845,0292,5079,[4/105],,NRS 14363,
,WALKER,James,Wambanglin,Wellington,Wellington district (Within the),28/10/1839,0483,5068,[4/92],,NRS 14363,
,WALKER,James,-,Bligh,Corranbil,17/09/1845,0290,5079,[4/105],,NRS 14363,
,WALKER,James,-,Bligh,Yarragun,17/09/1845,0284,5079,[4/105],,NRS 14363,
,WALKER,James,Sydney,Liverpool Plains,Baradean,14/01/1846,1129,5081,[4/106],,NRS 14363,
,WALKER,James,-,Bligh,Ulungra,17/09/1845,0285,5079,[4/105],,NRS 14363,
,WALKER,James,Wallerowang,Liverpool Plains,Baradeen,07/09/1839,0350,5068,[4/92],,NRS 14363,
,WALKER,James,"Wallerowang, Vale of Clwyd",Liverpool Plains,Baradeen on the Baradeen Creek,01/10/1840,0508,5070,[4/94],,NRS 14363,
,WALKER,James,Sydney,Liverpool Plains,North Western,17/05/1838,0113,5067,[4/91],"Other names mentioned: WALKER, Thos",NRS 14363,
,WALKER,James,-,Bligh,Bundebundewly,17/09/1845,0288,5079,[4/105],,NRS 14363,
,WALKER,James,-,Bligh,Magonadine,17/09/1845,0291,5079,[4/105],,NRS 14363,
,WALKER,James,Vale of Clwyd,Liverpool Plains and Bligh,Biambal,29/09/1843,0432,5076,[4/100],,NRS 14363,
,WALKER,James,Wallerowang,Liverpool Plains,Barradeen on the Barradeen creek,29/06/1841,0034,5070,[4/95],,NRS 14363,
,WALKER,James,Wallerawang,Bligh,Biambel on the Castlereagh River,29/09/1840,0452,5070,[4/94],,NRS 14363,
,WALKER,James,-,Bligh,Biambil,17/09/1845,0283,5079,[4/105],,NRS 14363,
,WALKER,James,-,Bligh,Youlandri,17/09/1845,0289,5079,[4/105],,NRS 14363,
,WALKER,James,Wallarawang,Bligh and Liverpool Plains,Biambil,17/09/1842,0406,5074,[4/99],see Col Sec letter 4 June 42/001,NRS 14363,
,WALKER,James,-,Baimbell,Western,28/01/1837,0181,GvtG,,,NRS 14363,
,WALKER,James,Wallerawang,Bligh,Biambil,09/07/1839,0089,5068,[4/92],,NRS 14363,
,WALKER,James,-,Bligh,Biambill,25/07/1844,0063,5077,[4/103],,NRS 14363,
,WALKER,James,Wallerawang,Bligh,Biamble on the Castlereagh River,27/08/1841,0343,5072,[4/97],"Other names mentioned: WALKER, W and CO",NRS 14363,
,WALKER,James,-,Bligh,Wallenberawang,17/09/1845,0286,5079,[4/105],,NRS 14363,
,WALKER,W,Sydney,Murrumbidgee,Kyamba,27/09/1844,0439,5078,[4/102],and CO,NRS 14363,
,WALKER,William,-,Maneroo,Condella Warracabara,17/09/1845,0294,5079,[4/105],and CO,NRS 14363,
,WALKER,William,-,Maneroo,Omeo,17/09/1845,0293,5079,[4/105],and CO,NRS 14363,
,WALKER,William,-,Murrumbidgee,Kyeamba; Jellingroo; Jenkins Island,17/09/1845,0295,5079,[4/105],and CO,NRS 14363,
,WALKER,William (Junior),-,Maneroo,Wolamba,25/01/1845,0799,5078,[4/104],,NRS 14363,
,WALKER,William (Junior),-,Maneroo,Warragabra,25/01/1845,0800,5078,[4/104],,NRS 14363,
,WALL,(Colonel),"Westbourne, Bathurst",Wellington,Western,02/04/1838,0068,5067,[4/91],,NRS 14363,
,WALL,C W,Westbourn,Wellington,Western,14/01/1837,0022,GvtG,,,NRS 14363,
,WALL,C W,Parramatta,Wellington,Native Dog Creek near the three rivers,19/07/1839,0178,5068,[4/92],,NRS 14363,
,WALLACE,-,-,Maneroo,Coolungdong,01/09/1845,0110,5079,[4/105],and RYRIE,NRS 14363,
,WALLACE,David,-,Clarence River,Copenhurst,30/09/1845,0649,5080,[4/107],,NRS 14363,
,WALLACE,Hugh,-,Maneroo,Bellourie,01/09/1845,0112,5079,[4/105],,NRS 14363,
,WALLACE,Hugh,Bellowra; Nithsdale,Maneroo,Bellowra,10/09/1844,0258,5077,[4/103],,NRS 14363,
,WALLACE,Hugh,Nithsdale,Maneroo,Belloura?/Billowra?,29/02/1844,0709,5076,[4/100],,NRS 14363,
,WALLACE,William,Nithsdale,Maneroo,Wadbillyjag,06/01/1840,0552,5069,[4/93],,NRS 14363,
,WALLACE,William,Nithsdale,Maneroo,Southern,17/03/1838,0059,5067,[4/91],Other names mentioned: WALLACE (Doctor),NRS 14363,
,WALSH,(Messrs),Castlereagh River,Bligh,Urmbong?/Urinbong?,26/09/1843,0368,5075,[4/101],and FISHER,NRS 14363,
,WALSH,Edmund,Bogolong,Lachlan,-,13/08/1840,0253,5069,[4/93],,NRS 14363,
,WALSH,Edmund,Bogolong,Lachlan,-,01/07/1841,0101,5070,[4/95],,NRS 14363,
,WALSH,John,-,Lachlan,Noka,03/10/1845,0832,5081,[4/106],,NRS 14363,
,WALSH,John,-,Lachlan,Youoguo,10/02/1844,0697,5076,[4/100],,NRS 14363,
,WALSH,John,-,Lachlan,Youoguo,26/09/1844,0404,5078,[4/102],,NRS 14363,
,WALSH,Michael,-,Wellington,Narradandary,08/09/1845,0158,5079,[4/105],,NRS 14363,
,WALSH,Michael,Narradandry,Wellington,Narradandry,15/08/1844,0135,5077,[4/103],,NRS 14363,
,WALSH,Michael,-,Wellington,Enabba,29/09/1845,0593,5080,[4/107],,NRS 14363,
,WALSH,Michael,Lachlan River,Wellington,Durrandarry,10/07/1841,0155,5070,[4/95],,NRS 14363,
,WALSH,Michael,Lachlan River,Wellington,Durrandarry,23/07/1842,0163,5073,[4/98],,NRS 14363,
,WALSH,Michael,Lachlan River,Wellington,Durrandurry,02/09/1840,0322,5070,[4/94],,NRS 14363,
,WALSH,Michael,Lachlan River,Wellington,Durrundarry,22/08/1842,0262,5073,[4/98],,NRS 14363,
,WALSH,Michael,Lachlan,Wellington,Narrodanderry,31/07/1843,0069,5075,[4/101],,NRS 14363,
,WALTON,C,Boorroowa,Murrumbidgee,"Glenken, on the Hume River",17/07/1839,0162,5068,[4/92],"and WALTON, H",NRS 14363,
,WALTON,Charles,Sydney,Murrumbidgee,"Glenken, Hume River",12/09/1840,0338,5070,[4/94],"and WALTON, Henry",NRS 14363,
,WALTON,H,Boorroowa,Murrumbidgee,"Glenken, on the Hume River",17/07/1839,0162,5068,[4/92],"and WALTON, C",NRS 14363,
,WALTON,Henry,Sydney,Murrumbidgee,"Glenken, Hume River",12/09/1840,0338,5070,[4/94],"and WALTON, Charles",NRS 14363,
,WALTON,Henry,Sydney,Yass,South Western,29/01/1838,0011,5067,[4/91],,NRS 14363,
,WALTON,John,-,Lachlan,Bland,13/09/1845,0223,5079,[4/105],,NRS 14363,
,WALTON,John,Bland Plains,Lachlan,Bland Plains,17/08/1844,0150,5077,[4/103],,NRS 14363,
,WALTON,John,-,Lachlan,Lachlan River,13/09/1845,0224,5079,[4/105],,NRS 14363,
,WARBY,Benjamin,Campbelltown,Murrumbidgee,Plunkets Island,21/09/1843,0308,5075,[4/101],,NRS 14363,
,WARBY,Benjamin,Campbelltown,Murrumbidgee,"Ovens River, County of Murray",30/09/1841,0509,5072,[4/97],,NRS 14363,
,WARBY,Benjamin,Campbelltown,Murrumbidgee,"Ovens River, County Murray",30/09/1841,0697,5071,[4/96],,NRS 14363,
,WARBY,Benjamin,"Mount Pleasant, near Campbelltown",Murrumbidgee,Urindar,26/03/1840,0630,5069,[4/93],,NRS 14363,
,WARBY,Benjamin,Campbell Town,Murrumbidgee,-,14/09/1842,0392,5073,[4/98],,NRS 14363,
,WARD,Christopher,Cunningham Creek,Lachlan,-,22/06/1841,0638,5070,[4/95],639 issued as 638,NRS 14363,
,WARD,Joseph,Minto,Bungonia,Western,09/07/1838,0313,5067,[4/91],Other names mentioned: MELLION,NRS 14363,
,WARD,Joseph,-,Maneroo,Island Lake,28/09/1844,0480,5078,[4/102],,NRS 14363,
,WARD,Joseph,Island Lake,Maneroo,Island Lake,19/08/1839,0276,5068,[4/92],,NRS 14363,
,WARD,Joseph,Island Lake,Maneroo,Island Lake,29/09/1841,0481,5072,[4/97],,NRS 14363,
,WARD,Joseph,Island Lake,Maneroo,Island Lake,30/06/1840,0130,5069,[4/93],,NRS 14363,
,WARD,Joseph,Island Lake,Maneroo,Island Lake,20/06/1842,0025,5073,[4/98],,NRS 14363,
,WARD,Philip,Cunningham Creek,Lachlan,Cunningham Creek,10/06/1843,0751,5074,[4/99],,NRS 14363,
,WARD,Philip,Cunningham Creek,Lachlan,Cunningham Creek,25/09/1843,0356,5075,[4/101],,NRS 14363,
,WARD,Philip,Cunninghame Creek,Lachlan,Cunninghame Creek,02/10/1839,0427,5068,[4/92],,NRS 14363,
,WARD,Philip,Cunningham Creek,Yass,Western,19/12/1837,0390,5067,[4/91],,NRS 14363,
,WARD,Phillip,-,Lachlan,Cunningham Creek,22/09/1845,0359,5079,[4/105],,NRS 14363,
,WARD,Phillip,-,Lachlan,Cunningham Creek,31/12/1844,0779,5078,[4/102],,NRS 14363,
,WARD,R,-,New England,Wallace's Creek,08/08/1844,0107,5077,[4/103],,NRS 14363,
,WARD,Richard,Wallis Plains,New England,Wallis Plains,13/08/1845,0028,5079,[4/105],,NRS 14363,
,WARD,Richard,Muswell Brook,New England,Wallace's Creek,12/01/1842,0615,5071,[4/96],,NRS 14363,
,WARD,Richard,Muswell Brook,New England,Wallace's Creek,25/08/1842,0292,5073,[4/98],,NRS 14363,
,WARD,Richard,Muswellbrook,New England,-,06/12/1843,0635,5076,[4/100],,NRS 14363,
,WARDE,Philip,Yass,Yass,South Western,07/05/1838,0094,5067,[4/91],"Indexd on reel as WARNE; Other names mentioned: MANNING, J E (Esq)",NRS 14363,
,WARNE,Charles,Sydney,Wellington,Western,31/05/1838,0136,5067,[4/91],"and FORBES, Charles; Other names mentioned: DAWES (Mr)",NRS 14363,
,WARNE,Charles F,Nubrygyn,Wellington,Western,06/07/1837,0370,5067,[4/91],"and FORBES, Charles",NRS 14363,
,WARREN,Gilbert,Greenland,Maneroo,Greenland,04/07/1844,0008,5077,[4/103],,NRS 14363,
,WARREN,Gilbert,Greenland,Maneroo,Greenland,30/09/1841,0526,5072,[4/97],,NRS 14363,
,WARREN,Gilbert,Greenland,Maneroo,Greenland,16/06/1840,0011,5069,[4/93],,NRS 14363,
,WARREN,Gilbert,Greenland,Maneroo,Greenland,16/10/1839,0460,5068,[4/92],,NRS 14363,
,WARREN,Gilbert,Greenland,Maneroo,Greenland,22/08/1845,0055,5079,[4/105],,NRS 14363,
,WARREN,Gilbert,Greenland,Maneroo,Greenland,11/07/1843,0032,5075,[4/101],,NRS 14363,
,WARREN,Gilbert,Greenland,Maneroo,Greenland,18/08/1842,0248,5073,[4/98],,NRS 14363,
,WARREN,Gilbert,Monaroo,Monaroo,Southern,05/06/1838,0149,5067,[4/91],,NRS 14363,
,WARREN,Gilbert,Noomeralla,Maneroo,Southern,04/03/1837,0273,5067,[4/91],,NRS 14363,
,WASAR,G,Jerdenpila,Wellington (beyond),Western,04/02/1837,0207,GvtG,,"and WILSON, W",NRS 14363,
,WATERFORD,William,Bannockburn,New England,Bannockburn,29/08/1844,0215,5077,[4/103],,NRS 14363,
,WATSON,S G,-,Murrumbidgee,Andomalunie?/Audowalunce?,09/09/1844,0253,5077,[4/103],,NRS 14363,
